"mean","lower","mid","upper","ESS","Rhat","var","ivar","converged","ess.thres","nwarm"
1.49751494358759,1.15994939632542,1.47133409714898,1.97424293742634,7504.20201691185,0.999941355399018,"omega",1,TRUE,300,3000
0.176491496856105,0.138363844585585,0.175377193982665,0.220157613511758,6787.96595032607,0.999886870477891,"theta",1,TRUE,300,3000
0.0550067402997512,0.0486313888501976,0.0550019480379871,0.0611896101853099,6915.20954953978,1.00025839356044,"lambda",1,TRUE,300,3000
0.146116757171826,0.091490264860932,0.144789260327361,0.208773812040944,6915.39748284043,0.999761765224518,"lambda",2,TRUE,300,3000
0.313740388880233,0.183871288357538,0.312288558912011,0.449626482063262,6979.8948475235,0.999813343152215,"lambda",3,TRUE,300,3000
0.021917400704156,0.00513810295830011,0.018498356591907,0.0574596006921731,6938.30137351035,0.999797675515186,"lambda",4,TRUE,300,3000
0.0272359946814057,0.00647733569171568,0.022850822977134,0.072050128873313,6801.6945278328,0.999806762522724,"lambda",5,TRUE,300,3000
0.0512727301622333,0.0269062938289883,0.0455057139590109,0.107627667488976,6635.34218172146,0.9998481669207,"lambda",6,TRUE,300,3000
0.00620709929027092,0.00314250494962529,0.00543987315220316,0.0136374822269955,6565.61143502114,1.00007363850183,"lambda",7,TRUE,300,3000
0.0965678265871169,0.0366104174614451,0.088375021796883,0.209765025498384,7098.42062808841,0.999829903850528,"lambda",8,TRUE,300,3000
0.00161422321788119,0.000497887022304969,0.00140942195149567,0.00399239078723487,7121.11716620825,0.999656741488042,"lambda",9,TRUE,300,3000
0.0132273760117635,0.00447014173525302,0.0120954277904466,0.0281332789878339,7300.23452538722,0.999800493878659,"lambda",10,TRUE,300,3000
0.0387570988947628,0.0151303235297262,0.0363529490624201,0.0757349141057456,7058.12885026729,0.999902468661187,"lambda",11,TRUE,300,3000
0.0371185913273604,0.0127770794870774,0.035018018756235,0.0727685187049052,7446.42830195562,0.999804674663245,"lambda",12,TRUE,300,3000
0.0222933650066953,0.00779770619922238,0.0212092063966554,0.0432362435991405,7274.22306051037,0.999924615997684,"lambda",13,TRUE,300,3000
0.0141096319623789,0.00621092353908242,0.0133530462289354,0.0262926711070889,6658.08846012298,0.999624612674301,"lambda",14,TRUE,300,3000
0.0262789403668236,0.0128112182013268,0.0253766787218806,0.0448154059619696,6862.31915669745,0.999740060864796,"lambda",15,TRUE,300,3000
0.0139919884439559,0.00530533523548776,0.0131687671404227,0.0274537202193902,6881.60182028346,0.999599525288105,"lambda",16,TRUE,300,3000
0.00906255925100579,0.00361516617436013,0.00856957910113499,0.0172841033923344,7044.45483037936,0.999600863538437,"lambda",17,TRUE,300,3000
0.0133885639543753,0.00893782927357497,0.012792457485562,0.0215886146345412,7004.646011912,0.999951644757628,"lambda",18,TRUE,300,3000
0.0153562171758631,0.0104737253383737,0.0146547364567228,0.024198542434906,6859.75166003093,0.999931770222393,"lambda",19,TRUE,300,3000
0.0517196307701147,0.0181911998143476,0.0489716837622768,0.10202867010227,7279.77794664079,1.00049341167254,"lambda",20,TRUE,300,3000
0.0111355548105679,0.00369096244011291,0.0103575781357403,0.0233591294234254,7166.89881892521,1.00073822983364,"lambda",21,TRUE,300,3000
0.0125846968918414,0.00442115482042951,0.0114289036614325,0.0276693112930012,6936.465418207,1.00019383972386,"lambda",22,TRUE,300,3000
0.00859364915569023,0.00317216444033967,0.00787897722270979,0.0181544617617605,6886.12971158838,1.0000388494265,"lambda",23,TRUE,300,3000
0.00754844149444955,0.00138993980815346,0.00596382862996614,0.0224909798185454,6690.81219169828,0.999949803740055,"lambda",24,TRUE,300,3000
0.00542320423515493,0.00100612361655692,0.00423731526349051,0.0161753673530631,7057.85403041715,0.999949038718891,"lambda",25,TRUE,300,3000
0.0256124827533487,0.00638703947796882,0.0245367784100055,0.0509790373349393,7032.81709828105,1.00026489366485,"lambda",26,TRUE,300,3000
0.0107081127993569,0.00289284151478891,0.010047687214855,0.0218538799085163,7080.58973534961,1.0002897947354,"lambda",27,TRUE,300,3000
0.00215339702906697,0.000351276318225281,0.0017369054619269,0.00636876650948616,7083.71653647757,0.999704816122835,"lambda",28,TRUE,300,3000
0.00624176058979474,0.00112122579519177,0.0052187815177738,0.0169617740295369,6930.33988849388,0.999856812990375,"lambda",29,TRUE,300,3000
0.00162422246867246,0.000322354034819115,0.00135426884865081,0.00453091538122533,7077.51725561307,0.999864793977324,"lambda",30,TRUE,300,3000
0.0067623593128651,0.00148000592621624,0.0058503518206613,0.0172624359888041,7194.42079482336,0.999847591709504,"lambda",31,TRUE,300,3000
0.00121233881691698,0.000403802905466452,0.00110497175329099,0.002673221704008,7049.31297966741,1.00046821004403,"lambda",32,TRUE,300,3000
0.0011220078762057,0.00038259359198177,0.00101879841695743,0.00247479213919532,6495.06257934276,1.00098935293254,"lambda",33,TRUE,300,3000
0.0168869669789015,0.00733368321087549,0.0161277966652824,0.0314303267015486,6844.54229382569,1.00010079106883,"lambda",34,TRUE,300,3000
0.00108926255333066,0.000393341616984675,0.000997895603897138,0.0022927229695021,7044.71158802745,1.00027420228306,"lambda",35,TRUE,300,3000
0.00551859880843096,0.00225933076576289,0.00519266570674304,0.0106479547067096,6651.78312742198,1.00021779581846,"lambda",36,TRUE,300,3000
0.00392802835962127,0.00155419547190495,0.0036788147104167,0.00773082071135117,6784.11355562245,1.00066380135711,"lambda",37,TRUE,300,3000
0.00164441870701189,0.000623516823490659,0.0015288219396396,0.00337466757319167,6761.58744793857,1.00041209331202,"lambda",38,TRUE,300,3000
0.012356974366838,0.00822397471929101,0.0118549565518715,0.0191722797491689,7002.31562011863,0.999988517241013,"binnedPhiT",1,TRUE,300,3000
